#KEY	C23.fq	C25.fq	C28.fq	K05.fq	K23.fq	K25.fq
Cytl1	0	0	0	1	3	2
Cyyr1	65	19	27	40	34	37
Czib	170	103	213	121	102	227
D030018L15Rik	0	0	0	0	0	0
D030024E09Rik	0	1	0	0	0	0
D030025E07Rik	0	0	0	0	0	0
D030025P21Rik	290	194	86	22	4	176
D030028A08Rik	51	100	76	37	32	109
D030040B21Rik	0	0	0	0	0	0
D030045P18Rik	0	0	4	1	5	1
D030047H15Rik	8	2	2	3	16	12
D030056L22Rik	370	377	431	245	45	164
D030068K23Rik	1	0	0	0	0	0
D10Wsu102e	173	236	356	331	111	345
D11Wsu47e	106	84	132	61	43	122
D130009I18Rik	0	0	0	0	0	0
D130017N08Rik	10	25	31	8	3	11
D130020L05Rik	196	208	243	210	36	178
D130040H23Rik	38	23	22	14	11	18
D130043K22Rik	2	3	0	0	0	0
D130079A08Rik	0	0	0	0	0	0
D14Ertd670e	0	0	0	0	0	0
D16Ertd472e	167	171	202	159	48	259
D16Ertd519e	0	0	0	0	0	0
D17Ertd648e	0	0	0	0	0	0
D17H6S53E	133	106	137	82	66	172
D17H6S56E-5	692	2583	10902	2614	1841	1999
D1Pas1	0	0	0	0	0	0
D230017M19Rik	11	14	5	3	4	10
D230025D16Rik	434	316	301	431	193	323
D230030E09Rik	0	0	0	0	0	0
D2hgdh	126	128	134	103	47	157
D330023K18Rik	9	10	9	11	8	13
D330025C20Rik	0	3	0	0	0	0
D330037F02Rik	5	6	6	12	2	1
D330041H03Rik	138	175	162	235	174	181
D330046F09Rik	0	0	0	0	0	0
D330050G23Rik	7	6	9	2	3	3
D330050I16Rik	160	151	178	177	113	151
D3Ertd751e	61	53	70	26	25	24
D430019H16Rik	80	41	34	26	18	18
D430020J02Rik	39	58	87	67	3	51
D430036J16Rik	7	5	43	27	0	2
D430041D05Rik	0	2	0	2	0	2
D430042O09Rik	227	246	303	181	124	304
D4Ertd617e	0	0	2	0	2	1
D530033B14Rik	17	13	6	8	4	15
D530049I02Rik	0	0	0	0	0	0
D5Ertd579e	685	598	679	538	170	610
D5Ertd605e	3	10	8	2	0	3
D5Ertd615e	9	24	34	16	0	2
D630003M21Rik	948	461	231	514	42	547
D630010B17Rik	36	17	7	17	0	18
D630013N20Rik	0	0	0	0	0	2
D630023F18Rik	1	1	1	1	0	2
D630024D03Rik	1	0	0	0	4	0
D630029K05Rik	0	0	0	0	0	0
D630033O11Rik	3	0	6	3	0	4
D630039A03Rik	17	84	8	6	62	51
D630041G03Rik	9	0	6	1	7	37
D630044L22Rik	172	150	167	123	117	230
D630045J12Rik	76	93	174	126	41	105
D6Ertd474e	0	0	0	0	0	1
D6Ertd527e	2	5	1	3	3	3
D6Wsu163e	147	125	136	162	44	161
D730003I15Rik	5	10	4	5	5	7
D730005E14Rik	114	257	251	145	78	287
D730045A05Rik	0	0	0	0	0	0
D730050B12Rik	0	0	0	0	0	0
D7Ertd143e	0	0	0	0	0	1
D7Ertd443e	0	0	1	0	2	5
D830005E20Rik	0	0	0	0	0	0
